sample_name	total_reads
A01	1034476
A02	1257922
A03	1036067
A04	1548476
A05	2549023
A06	3112478
A07	3422159
A08	2696571
A09	6001938
A10	2574632
A11	1311633
A12	3391438
B01	3923937
B02	2315613
B03	3887417
B04	2389947
B05	2025837
B06	2739661
B07	2995130
B08	1671311
B09	3962530
B10	3085773
B11	4421422
B12	783144
C01	751519
C02	625434
C03	4588205
C04	3710155
C05	1945582
C06	2853990
C07	2544751
C08	2395501
C09	2647816
C10	3092162
C11	3006426
C12	1013508
D01	3410736
D02	504614
D03	2802208
D04	3107979
D05	1937450
D06	2615395
D07	2450824
D08	4111011
D09	3969042
D10	2773165
D11	652260
D12	3612881
E01	1033734
E02	52591
E03	1722025
E04	4311436
E05	2373233
E06	1078305
E07	1993943
E08	3767050
E09	4194358
E10	978996
E11	834150
E12	2623598
F01	68488
F02	2326892
F03	3097717
F04	3003071
F05	2734565
F06	2415504
F07	4031617
F08	1680683
F09	1964418
F10	2211727
F11	1351183
F12	2969440
G01	3117756
G02	2535065
G03	3575698
G04	2514923
G05	5421206
G06	4287654
G07	1737238
G08	4468616
G09	2706247
G10	2107143
G11	3624306
G12	2196877
H01	7287
H02	479086
H03	3137458
H04	3428032
H05	2040869
H06	3332728
H07	1092719
H08	4188988
H09	1949747
H10	1514648
H11	3823085
H12	2779501
