tip_label,clade_chorl
Mhc_1_2_CC027,S3
Mhc_5_4_CC035,S4
Mhm_1_3_CC023,S3
Mhm_6_6_CC031,S3
Mhh_2_3_CC021,S4
Mao_1_3_CC036,S1
Mao_6_5_CC043,S3
Mar_1_1_M_reppen,NC
Mhui_2_SA1094,S1
Mhc_2_2_CC028,S3
Mhc_6_1_CC038,S4
Mhm_2_1_CC024,S3
Mhm_7_1_CC032,S3
Mhh_3_2_CC022,S4
Mao_1_5_CC036,S1
Mao_4_1_CC044,S3
Ms_1_UG883,S3
Md_1_CPNL120,S3
Mhc_2_5_CC028,S3
Mhc_6_2_CC038,S4
Mhm_3_2_CC025,S3
Mhm_7_3_CC032,S3
Mhh_3_3_CC022,S4
Mao_2_1_CC037,S4
Mao_4_2_CC044,S3
Ms_2_UG793,S3
Md_2_CPNL133,S3
Mhsa_6_1,S3
Mhc_3_1_CC033,S4
Mhc_7_2_CC039,S4
Mhm_3_4_CC025,S3
Mhh_1_1_CC020,S4
Mhh_3_4_CC022,S4
Mao_3_1_CC040,S4
Mao_4_4_CC044,S3
Mf_2_CPNL132,S4
Mhsa_6_2,S3
Mhc_3_2_CC033,S4
Mhc_7_3_CC039,S4
Mhm_4_1_CC026,S3
Mhh_1_2_CC020,S4
Mha_1_1_CC029,S4
Mao_3_4_CC040,S4
Mao_5_1_CC046,S3
Mc_3_UG787,S1
Mf_3_CPNL132,S4
Mhc_4_3_CC034,S4
Mhc_8_1_CC045,S3
Mhm_5_4_CC030,S3
Mhh_1_3_CC020,S4
Mha_1_5_CC029,S4
Mao_3_5_CC040,S4
Mao_5_2_CC046,S3
Ml_1_CPLN122,S1
Mm_1_M_mag_JB,OG
Mhc_4_4_CC034,S4
Mhc_8_4_CC045,S3
Mhm_5_6_CC030,S3
Mhh_2_1_CC021,S4
Mha_1_7_CC029,S4
Mao_6_3_CC043,S3
Mao_5_3_CC046,S3
Ml_3_CPLN122,S1
Mduo_1_DA_235,OG
Mhc_1_4_CC027,S3
Mhc_5_3_CC035,S4
Mhm_1_2_CC023,S3
Mhm_6_5_CC031,S3
Mhh_2_2_CC021,S4
Mao_1_2_CC036,S1
Mao_6_4_CC043,S3
Maa_1_1_CC047,S4
Mhui_1_SA856,S1
Mmy_1_DA_242,OG
