A01	Mhsa_1_1
A02	Mhsa_1_9
A03	Mhsa_4_4
A04	Mhc_1_2_CC027
A05	Mhc_5_4_CC035
A06	Mhm_1_3_CC023
A07	Mhm_6_6_CC031
A08	Mhh_2_3_CC021
A09	Mao_1_3_CC036
A10	Mao_6_5_CC043
A11	Mar_1_1_M_reppen
A12	Mhui_2_SA1094
B01	Mhsa_1_2
B02	Mhsa_1_10
B03	Mhsa_4_5
B04	Mhc_2_2_CC028
B05	Mhc_6_1_CC038
B06	Mhm_2_1_CC024
B07	Mhm_7_1_CC032
B08	Mhh_3_2_CC022
B09	Mao_1_5_CC036
B10	Mao_4_1_CC044
B11	Ms_1_UG883
B12	Md_1_CPNL120
C01	Mhsa_1_3
C02	Mhsa_1_11
C03	Mhsa_5_1
C04	Mhc_2_5_CC028
C05	Mhc_6_2_CC038
C06	Mhm_3_2_CC025
C07	Mhm_7_3_CC032
C08	Mhh_3_3_CC022
C09	Mao_2_1_CC037
C10	Mao_4_2_CC044
C11	Ms_2_UG793
C12	Md_2_CPNL133
D01	Mhsa_1_4
D02	Mhsa_2_1
D03	Mhsa_6_1
D04	Mhc_3_1_CC033
D05	Mhc_7_2_CC039
D06	Mhm_3_4_CC025
D07	Mhh_1_1_CC020
D08	Mhh_3_4_CC022
D09	Mao_3_1_CC040
D10	Mao_4_4_CC044
D11	Mc_1_UG787
D12	Mf_2_CPNL132
E01	Mhsa_1_5
E02	Mhsa_3_1
E03	Mhsa_6_2
E04	Mhc_3_2_CC033
E05	Mhc_7_3_CC039
E06	Mhm_4_1_CC026
E07	Mhh_1_2_CC020
E08	Mha_1_1_CC029
E09	Mao_3_4_CC040
E10	Mao_5_1_CC046
E11	Mc_3_UG787
E12	Mf_3_CPNL132
F01	Mhsa_1_6
F02	Mhsa_4_1
F03	Mhsa_7_1
F04	Mhc_4_3_CC034
F05	Mhc_8_1_CC045
F06	Mhm_5_4_CC030
F07	Mhh_1_3_CC020
F08	Mha_1_5_CC029
F09	Mao_3_5_CC040
F10	Mao_5_2_CC046
F11	Ml_1_CPLN122
F12	Mm_1_M_mag_JB
G01	Mhsa_1_7
G02	Mhsa_4_2
G03	Mhsa_7_2
G04	Mhc_4_4_CC034
G05	Mhc_8_4_CC045
G06	Mhm_5_6_CC030
G07	Mhh_2_1_CC021
G08	Mha_1_7_CC029
G09	Mao_6_3_CC043
G10	Mao_5_3_CC046
G11	Ml_3_CPLN122
G12	Mduo_1_DA_235
H01	Mhsa_1_8
H02	Mhsa_4_3
H03	Mhc_1_4_CC027
H04	Mhc_5_3_CC035
H05	Mhm_1_2_CC023
H06	Mhm_6_5_CC031
H07	Mhh_2_2_CC021
H08	Mao_1_2_CC036
H09	Mao_6_4_CC043
H10	Maa_1_1_CC047
H11	Mhui_1_SA856
H12	Mmy_1_DA_242
