"Id","Especie"
"A04","M_haageana_conspicua"
"A05","M_haageana_conspicua"
"A06","M_haageana_meissneri"
"A07","M_haageana_meissneri"
"A08","M_haageana_haageana"
"A09","M_albilanata_oaxacana"
"A10","M_albilanata_oaxacana"
"A11","M_albilanata_reppenhagenii"
"A12","M_huitzilopochtli"
"B04","M_haageana_conspicua"
"B05","M_haageana_conspicua"
"B06","M_haageana_meissneri"
"B07","M_haageana_meissneri"
"B08","M_haageana_haageana"
"B09","M_albilanata_oaxacana"
"B10","M_albilanata_oaxacana"
"B11","M_supertexta"
"B12","M_dixanthocentron"
"C04","M_haageana_conspicua"
"C05","M_haageana_conspicua"
"C06","M_haageana_meissneri"
"C07","M_haageana_meissneri"
"C08","M_haageana_haageana"
"C09","M_albilanata_oaxacana"
"C10","M_albilanata_oaxacana"
"C11","M_supertexta"
"C12","M_dixanthocentron"
"D03","M_haageana_san_angelensis"
"D04","M_haageana_conspicua"
"D05","M_haageana_conspicua"
"D06","M_haageana_meissneri"
"D07","M_haageana_haageana"
"D08","M_haageana_haageana"
"D09","M_albilanata_oaxacana"
"D10","M_albilanata_oaxacana"
"D12","M_flavicentra"
"E03","M_haageana_san_angelensis"
"E04","M_haageana_conspicua"
"E05","M_haageana_conspicua"
"E06","M_haageana_meissneri"
"E07","M_haageana_haageana"
"E08","M_haageana_acultzingensis"
"E09","M_albilanata_oaxacana"
"E10","M_albilanata_oaxacana"
"E11","M_crucigera"
"E12","M_flavicentra"
"F04","M_haageana_conspicua"
"F05","M_haageana_conspicua"
"F06","M_haageana_meissneri"
"F07","M_haageana_haageana"
"F08","M_haageana_acultzingensis"
"F09","M_albilanata_oaxacana"
"F10","M_albilanata_oaxacana"
"F11","M_lanata"
"F12","M_magnimamma"
"G04","M_haageana_conspicua"
"G05","M_haageana_conspicua"
"G06","M_haageana_meissneri"
"G07","M_haageana_haageana"
"G08","M_haageana_acultzingensis"
"G09","M_albilanata_oaxacana"
"G10","M_albilanata_oaxacana"
"G11","M_lanata"
"G12","M_duoformis"
"H03","M_haageana_conspicua"
"H04","M_haageana_conspicua"
"H05","M_haageana_meissneri"
"H06","M_haageana_meissneri"
"H07","M_haageana_haageana"
"H08","M_albilanata_oaxacana"
"H09","M_albilanata_oaxacana"
"H10","M_albilanata_albilanta"
"H11","M_huitzilopochtli"
"H12","M_myxtax"
