TIP,SP
Maa_1_1_CC047,M_albilanata
Mhsa_6_1,M_haageana
Mhsa_6_2,M_haageana
Mar_1_1_M_reppen,M_albilanata
Mao_4_4_CC044,M_albilanata
Mao_4_2_CC044,M_albilanata
Mao_4_1_CC044,M_albilanata
Mao_6_3_CC043,M_albilanata
Mao_6_4_CC043,M_albilanata
Mao_6_5_CC043,M_albilanata
Mc_3_UG787,M_crucigera
Ml_3_CPLN122,M_lanata
Ml_1_CPLN122,M_lanata
Md_1_CPNL120,M_dixanthocentron
Ms_2_UG793,M_supertexta
Ms_1_UG883,M_supertexta
Mhm_6_6_CC031,M_haageana
Mhm_6_5_CC031,M_haageana
Mhm_7_1_CC032,M_haageana
Mhm_7_3_CC032,M_haageana
Mhm_4_1_CC026,M_haageana
Mhm_2_1_CC024,M_haageana
Mhm_1_2_CC023,M_haageana
Mhm_1_3_CC023,M_haageana
Mhm_5_6_CC030,M_haageana
Mhm_5_4_CC030,M_haageana
Mhc_2_2_CC028,M_haageana
Mhc_2_5_CC028,M_haageana
Mhc_1_2_CC027,M_haageana
Mhc_1_4_CC027,M_haageana
Mhc_8_1_CC045,M_haageana
Mhc_8_4_CC045,M_haageana
Mhm_3_2_CC025,M_haageana
Mhm_3_4_CC025,M_haageana
Mao_5_3_CC046,M_albilanata
Mao_5_2_CC046,M_albilanata
Mao_5_1_CC046,M_albilanata
Mao_1_2_CC036,M_albilanata
Mao_1_3_CC036,M_albilanata
Mao_1_5_CC036,M_albilanata
Mhc_7_3_CC039,M_haageana
Mhc_7_2_CC039,M_haageana
Mhc_3_1_CC033,M_haageana
Mhc_3_2_CC033,M_haageana
Mhc_4_4_CC034,M_haageana
Mhc_4_3_CC034,M_haageana
Mao_3_5_CC040,M_albilanata
Mao_3_1_CC040,M_albilanata
Mao_3_4_CC040,M_albilanata
Mhc_6_1_CC038,M_haageana
Mhc_5_3_CC035,M_haageana
Mhc_5_4_CC035,M_haageana
Mao_2_1_CC037,M_albilanata
Mhc_6_2_CC038,M_haageana
Mf_2_CPNL132,M_lanata
Mf_3_CPNL132,M_lanata
Mha_1_5_CC029,M_haageana
Mha_1_1_CC029,M_haageana
Mha_1_7_CC029,M_haageana
Mhh_3_2_CC022,M_haageana
Mhh_3_3_CC022,M_haageana
Mhh_3_4_CC022,M_haageana
Mhh_1_2_CC020,M_haageana
Mhh_1_1_CC020,M_haageana
Mhh_1_3_CC020,M_haageana
Mhh_2_3_CC021,M_haageana
Mhh_2_2_CC021,M_haageana
Mhh_2_1_CC021,M_haageana
Md_2_CPNL133,M_dixanthocentron
Mhui_2_SA1094,M_huitzilopochtli
Mhui_1_SA856,M_huitzilopochtli
Mduo_1_DA_235,M_duoformis
Mm_1_M_mag_JB,M_magnimamma
Mmy_1_DA_242,M_mystax
