"param","param","loci_minsam_40","loci_minsam_60","loci_minsam_80","snp_minsam_40","snp_minsam_60","snp_minsam_80"
"clust threshold","82",2438,876,324,41528,15023,5115
"clust threshold","85",2763,966,361,47237,16452,5656
"clust threshold","86",2932,1013,374,50152,17142,5767
"clust threshold","87",3070,1030,368,52410,17619,5749
"clust threshold","88",3312,1080,355,56231,18458,5584
"clust threshold","89",3401,1077,326,57392,18275,5073
"clust threshold","91",3667,1029,288,61285,17325,4493
"clust threshold","94",3848,946,249,64204,16309,3932
"mindepth","3",4616,1315,332,99753,28570,6716
"mindepth","4",3701,1113,319,73552,22057,5781
"mindepth","5",3210,1029,337,58124,18635,5608
"mindepth","6",2763,966,361,47237,16452,5656
"mindepth","7",2489,936,375,41954,15443,5617
"mindepth","8",2209,868,372,36128,13857,5504
"mindepth","9",1992,819,353,31759,12583,4974
"mindepth","10",1864,783,354,29362,11814,4864
"mindepth","11",1771,772,350,27177,11358,4730
"mindepth","12",1676,746,344,25282,10728,4648
